金额,cnt_today,cnt_yesterday,mchnt_today,ratio
50-100元,145532,173444,39029,-0.16092802287770114
100-1000元,433837,479477,163076,-0.09518704755389729
10-50元,780083,937615,123081,-0.16801352367442923
1000元以上,31158,32074,12428,-0.02855895741098713
10元以下,5961028,5365534,148074,0.11098503895418421
