scene,cnt_today,cnt_yesterday,ratio
公交地铁,4357853,3797433,0.14757864062381087
停车,309,416,-0.25721153846153844
零售,881145,1010977,-0.12842230832155432
医院,634,673,-0.05794947994056465
加油,10808,19718,-0.4518713865503601
连锁,7801,19269,-0.5951528361617104
景区,null,5,null
餐饮,209160,220185,-0.05007153075822601
自助,14407,13520,0.0656065088757396
菜场,20741,24428,-0.15093335516620277
校园,90213,99117,-0.08983322739792365
食堂,59566,62138,-0.041391740963661494
其他,179563,191736,-0.0634883381315976
