scene,cnt_today,cnt_yesterday,ratio
公交地铁,4471415,4353985,0.026970694662475925
零售,823274,902551,-0.08783658762773516
餐饮,184826,212318,-0.12948501775638432
其他,164246,182626,-0.1006428438447976
食堂,67486,60247,0.12015536043288466
校园,31433,90626,-0.6531569306821442
自助,14839,15151,-0.020592700151805143
菜场,13996,21146,-0.33812541378984207
加油,9054,11117,-0.18557164702707563
连锁,6941,8212,-0.15477350219191433
医院,1575,632,1.4920886075949369
停车,312,309,0.009708737864077666
