mchnt_nm,type1,scene,cnt_today,cnt_yesterday,cnt_ratio,discnt_today,discnt_yesterday,discnt_ratio
天津市公交,乘车码,公交地铁,194073,154094,0.2594455332459409,179200,140433,0.27605334928400027
上海公交,乘车码,公交地铁,147232,125917,0.16927817530595557,125977,106303,0.18507473918892225
成都地铁,乘车码,公交地铁,129684,98818,0.3123520006476552,84719,83812,0.010821839354746343
滨海公交,乘车码,公交地铁,127595,106535,0.19768151311775473,95074,78945,0.20430679587054268
福州公交,乘车码,公交地铁,118103,98952,0.19353828118683802,104011,86713,0.199485659589681
杭州地铁,乘车码,公交地铁,108815,80552,0.350866521005065,102370,74836,0.3679245283018868
济南市公共交通总公司,被扫,公交地铁,94031,82720,0.13673839458413917,64788,55434,0.16874120575819895
南京公交,乘车码,公交地铁,91659,73968,0.239170992861778,87618,70518,0.24249127882242827
城卡公交,乘车码,公交地铁,83596,78778,0.06115920688517096,0,0,NaN
福建省三明市公共交通公司,被扫,公交地铁,79613,74400,0.07006720430107527,67500,63763,0.05860765647789479
