scene,cnt_today,cnt_yesterday,ratio
公共,null,1,null
公交地铁,4606310,4484840,0.02708457826812105
零售,1594682,1687774,-0.055156673820073054
餐饮,429317,453876,-0.05410949246049579
其他,374336,396547,-0.056011015087744975
自助,85929,64263,0.33714579151300117
食堂,79810,72039,0.10787212482127728
菜场,49102,58055,-0.15421582981655324
校园,36947,95920,-0.6148144286905755
加油,17776,19904,-0.10691318327974275
连锁,14508,15915,-0.08840716305372287
医院,3439,1953,0.7608806963645673
停车,481,489,-0.01635991820040905
景区,80,62,0.29032258064516125
