index,cnt_today,cnt_yesterday,ratio_by_yesterday,cnt_last_year,ration_by_last_year
control_cnt,1620526,1421829,0.1397474661158269,1526838,0.06136079924654747
control_out_cnt,310755,301889,0.02936841024350012,1041787,-0.70170965850025
control_out_mchnt,4031,3929,0.025960804275897198,913,3.4151150054764514
new_mchnt_cnt,144,127,0.13385826771653542,79,0.8227848101265822
control_mchnt,4954,4868,0.01766639276910431,1729,1.86524002313476
qr_code_cnt,7292717,7351638,-0.008014676457137826,4469955,0.631496737662907
qr_code_mchnt_cnt,388766,400503,-0.02930564814745462,256532,0.5154678558620367
all_mchnt_cnt,394981,406651,-0.028697826883494648,259624,0.5213578097556466
