index,cnt_today,cnt_yesterday,ratio
被扫,3666517,3602597,0.017742756128426244
乘车码,2561262,430446,4.950251599503771
远程转账,1597516,1559385,0.02445258868079403
信用卡还款,1017978,null,null
一般主扫,783646,786271,-0.00333854358102995
快速收款码,482598,473907,0.018339041204286918
小微主扫,414673,424365,-0.022838829780966855
外部控件,301889,329821,-0.08468836126262427
无感支付,200310,null,null
人到人转账,191312,178711,0.0705104890017962
公缴,77139,75209,0.025661822388277997
充值,24672,24228,0.018325903912828134
微信收款码,14330,13935,0.02834589163975601
数娱服务,3490,4727,-0.2616881743177491
商城,218,0,Infinity
