branch,city,user
贵州,贵阳市,70634
新疆,喀什地区,6018
江西,景德镇市,6730
甘肃,平凉市,1985
江苏,宿迁市,1241
福建,莆田市,18123
四川,自贡市,3990
新疆,可克达拉市(自治区直辖),3
黑龙江,哈尔滨市,11524
内蒙古,巴彦淖尔市,1927
辽宁,鞍山市,16666
广西,百色市,647
浙江,湖州市,2189
河北,秦皇岛市,2066
四川,甘孜藏族自治州,373
湖南,湘潭市,9334
江西,鹰潭市,4040
江苏,,12470
内蒙古,乌兰察布市,1254
贵州,黔东南侗族自治州,2624
云南,丽江市,93
内蒙古,包头市,11568
吉林,,19821
吉林,通化市,18025
河南,鹤壁市,3367
浙江,杭州市,87909
内蒙古,呼伦贝尔市,3186
新疆,阿勒泰地区,1336
青海,海西蒙古族藏族自治州,13
陕西,商洛市,694
四川,泸州市,5858
湖北,十堰市,1403
西藏,昌都市,2
云南,西双版纳傣族自治州,96
湖南,岳阳市,1947
辽宁,,8861
山西,晋城市,2535
新疆,石河子市（自治区直辖）,1107
新疆,和田地区,53
辽宁,辽阳市,5394
江苏,无锡市,6176
湖南,益阳市,4700
新疆,克孜勒苏柯尔克孜自治州,7
河南,洛阳市,17380
广西,贵港市,4219
河南,濮阳市,3551
福建,漳州市,11681
河北,廊坊市,8111
江苏,淮安市,4363
河南,焦作市,2236
新疆,吐鲁番市,3019
内蒙古,通辽市,8504
青海,西宁市,14902
广东,汕尾市,201
新疆,阿克苏地区,1609
新疆,巴音郭楞蒙古自治州,14988
福建,泉州市,29025
青海,海东市,2945
山东,潍坊市,29317
宁夏,石嘴山市,1545
安徽,阜阳市,24932
山东,枣庄市,9376
浙江,舟山市,847
湖北,荆州市,14152
山东,菏泽市,12670
广东,江门市,8043
山东,淄博市,4659
四川,攀枝花市,12832
广西,梧州市,6745
湖南,怀化市,1693
山西,太原市,57564
河北,邯郸市,15638
甘肃,,1082
湖南,永州市,3981
江西,上饶市,1381
辽宁,锦州市,50308
吉林,长春市,67277
陕西,咸阳市,3690
山西,运城市,4401
西藏,阿里地区,1
贵州,六盘水市,17209
陕西,宝鸡市,5692
海南,海口市,8975
湖南,邵阳市,21907
湖南,,5533
黑龙江,牡丹江市,10155
广西,防城港市,397
甘肃,庆阳市,755
陕西,榆林市,2141
四川,遂宁市,3083
新疆,昌吉回族自治州,13197
陕西,西咸新区,16
四川,广元市,7516
河南,南阳市,12709
湖南,娄底市,10839
江西,吉安市,8332
宁夏,银川市,53417
河北,衡水市,1845
云南,曲靖市,11486
山东,济宁市,3328
内蒙古,阿拉善盟,257
河南,,1744
河北,邢台市,4810
广东,韶关市,2633
广东,,22189
陕西,,1717
江苏,常州市,8855
黑龙江,鹤岗市,1023
吉林,松原市,4771
云南,文山壮族苗族自治州,2647
广东,梅州市,591
山东,烟台市,16577
