scene,cnt_today,cnt_yesterday,ratio
公交地铁,3923920,4915757,-0.20176688961639067
零售,1829394,1745990,0.04776888756522091
餐饮,463970,507201,-0.0852344534021029
其他,406368,429783,-0.05448098226314213
校园,104616,147197,-0.2892789934577471
食堂,69727,82127,-0.15098566853775253
菜场,62566,60883,0.027643184468570947
自助,58783,61403,-0.04266892497109265
连锁,35470,11003,2.2236662728346817
加油,30619,18871,0.6225425255683323
医院,2030,2716,-0.25257731958762886
停车,607,512,0.185546875
景区,74,49,0.510204081632653
