index,cnt_today,cnt_yesterday,ratio_by_yesterday,cnt_last_year,ration_by_last_year
qr_code_cnt,1910846,2039993,-0.0633075701730349,2895447,-0.34005146701010236
control_mchnt,3104,3127,-0.007355292612727826,0,Infinity
control_cnt,1300552,1325412,-0.018756431962287934,1649547,-0.21157020685072936
control_out_mchnt,2257,2275,-0.007912087912087862,0,Infinity
new_mchnt_cnt,8,12,-0.33333333333333337,7,0.1428571428571428
control_out_cnt,242454,254887,-0.04877847830607285,1302636,-0.8138743286689452
all_mchnt_cnt,243862,240402,0.014392559130123717,178049,0.36963420182084716
qr_code_mchnt_cnt,239402,235922,0.014750637922703369,0,Infinity
