index,cnt_today,cnt_yesterday,ratio_by_yesterday,cnt_last_year,ration_by_last_year
all_mchnt_cnt,123123,410180.0,123123,123123,123123
control_cnt,123123,1319230.0,123123,123123,123123
control_mchnt,123123,4829.0,123123,123123,123123
control_out_cnt,123123,329821.0,123123,123123,123123
control_out_mchnt,123123,3931.0,123123,123123,123123
new_mchnt_cnt,123123,106.0,123123,123123,123123
qr_code_cnt,123123,6988144.0,123123,123123,123123
qr_code_mchnt_cnt,123123,404055.0,123123,123123,123123
