scene,cnt_today,cnt_yesterday,ratio
零售,1114972,1218544,-0.08499652043750572
餐饮,260032,270592,-0.03902554399243141
其他,201219,215536,-0.06642509835943877
公交地铁,180363,172479,0.045709912511088246
校园,48449,46616,0.03932126308563588
菜场,42448,45526,-0.0676097175240522
食堂,28048,30209,-0.07153497302128509
自助,23756,22351,0.06286072211534166
连锁,8461,13603,-0.3780048518709108
加油,2924,4121,-0.29046347973792763
医院,153,377,-0.5941644562334217
停车,19,38,-0.5
公共,1,null,null
景区,1,1,0.0
