branch,city,user2
广东,,13913
广东,阳江市,438
吉林,通化市,4260
江西,抚州市,432
湖北,十堰市,847
江西,南昌市,5484
青岛,青岛市,13937
河南,南阳市,1595
重庆,重庆市,28738
河南,漯河市,1182
江苏,淮安市,1042
新疆,铁门关市（自治区直辖）,1
山东,,2737
吉林,长春市,33357
河北,石家庄市,15193
湖北,荆门市,1132
黑龙江,鹤岗市,798
山东,东营市,4751
江西,,1258
广东,潮州市,521
广东,梅州市,506
山东,济南市,27141
河北,,517
辽宁,鞍山市,2303
山东,烟台市,4279
青海,海南藏族自治州,26
内蒙古,鄂尔多斯市,402
湖北,随州市,144
湖南,岳阳市,970
广东,汕尾市,356
新疆,阿克苏地区,344
江苏,南充市,379
宁夏,,4
河南,濮阳市,488
湖南,益阳市,1113
青海,海东市,11
河南,鹤壁市,573
广西,,466
山东,菏泽市,10045
陕西,延安市,377
四川,成都市,55233
青海,海西藏族自治州,26
江苏,南通市,3416
四川,绵阳市,2406
福建,,2727
黑龙江,黑河市,113
云南,普洱市,69
云南,西双版纳傣族自治州,42
贵州,铜仁市,2871
上海,上海市,85882
山东,临沂市,4792
湖南,郴州市,2201
江苏,,9629
贵州,黔东南苗族侗族自治州,2291
甘肃,武威市,145
辽宁,营口市,2492
广东,肇庆市,640
云南,红河哈尼族彝族自治州,310
福建,漳州市,5360
宁夏,吴忠市,3060
福建,莆田市,14703
内蒙古,乌海市,127
辽宁,朝阳市,7143
广西,河池市,442
江苏,扬州市,808
河南,许昌市,6721
浙江,嘉兴市,1146
黑龙江,伊春市,747
广西,来宾市,1090
河北,邢台市,2796
江苏,无锡市,8448
天津,北京市,3789
内蒙古,呼和浩特市,2203
山东,潍坊市,30070
河北,承德市,226
内蒙古,赤峰市,1149
云南,昆明市,36711
山西,长治市,1146
江西,宜春市,724
甘肃,定西市,204
江苏,徐州市,2504
湖南,张家界市,2100
广西,贺州市,1411
湖南,邵阳市,1718
河南,郑州市,13147
甘肃,天水市,265
安徽,池州市,453
河北,秦皇岛市,1303
河北,廊坊市,915
甘肃,庆阳市,68
四川,自贡市,1133
福建,泉州市,8882
内蒙古,包头市,1517
四川,泸州市,2578
广西,贵港市,2228
陕西,渭南市,465
江西,吉安市,484
新疆,克孜勒苏柯尔克孜自治州,3
青海,西宁市,3703
宁夏,银川市,3360
四川,广安市,2311
新疆,巴音郭楞蒙古自治州,1597
null,null,21017
安徽,阜阳市,3692
