scene,cnt_today,cnt_yesterday,ratio
零售,657016,750686,-0.12477920195661041
公交地铁,168599,161325,0.045089105842244015
餐饮,161922,168828,-0.040905536996232894
其他,74162,89860,-0.1746939683952815
校园,47125,45334,0.03950677195923591
食堂,27483,28800,-0.04572916666666671
菜场,22480,25471,-0.1174276628322406
自助,10302,10821,-0.04796229553645692
连锁,4526,8704,-0.48000919117647056
加油,1040,2094,-0.5033428844317096
停车,9,null,null
