金额,cnt_today,cnt_yesterday,mchnt_today,ratio
50-100元,85412,96721,23042,-0.11692393585674254
10元以下,1084133,1105483,54725,-0.01931282525375788
100-1000元,327134,330198,140392,-0.009279280916298704
1000元以上,23851,21933,12304,0.0874481375096885
10-50元,390316,485658,58285,-0.1963151023971601
