branch,city,count(distinct cdhd_usr_id)
广东,珠海市,1942
四川,达州市,22227
海南,,10890
云南,丽江市,93
内蒙古,包头市,9842
广西,河池市,3635
新疆,乌鲁木齐市,18776
浙江,丽水市,770
厦门,厦门市,62368
青海,,1969
西藏,那曲市,12
四川,阿坝藏族羌族自治州,33
河南,开封市,1922
安徽,合肥市,43501
甘肃,武威市,2646
广西,桂林市,14910
广东,佛山市,21309
上海,上海市,208145
江西,景德镇市,6730
河北,张家口市,7670
湖北,,12630
四川,泸州市,5403
湖北,十堰市,1401
四川,内江市,6157
内蒙古,巴彦淖尔市,1927
辽宁,鞍山市,15023
广西,百色市,647
内蒙古,鄂尔多斯市,543
安徽,池州市,3377
辽宁,阜新市,18245
山东,枣庄市,9376
宁夏,固原市,9479
河南,鹤壁市,3367
新疆,克孜勒苏柯尔克孜自治州,7
河南,洛阳市,17380
广东,江门市,8043
山东,淄博市,4659
四川,攀枝花市,11657
黑龙江,七台河市,382
江苏,宿迁市,1241
福建,莆田市,18123
河北,秦皇岛市,2066
辽宁,,8861
新疆,巴音郭楞蒙古自治州,14988
四川,甘孜藏族自治州,373
湖南,湘潭市,8397
江西,鹰潭市,4040
内蒙古,呼伦贝尔市,3186
广西,梧州市,6745
陕西,商洛市,694
山东,日照市,4403
新疆,石河子市（自治区直辖）,1107
湖南,怀化市,1693
山西,忻州市,2551
山东,济宁市,3328
山西,太原市,57564
广西,贵港市,4219
新疆,和田地区,53
辽宁,辽阳市,5394
江苏,无锡市,6153
甘肃,平凉市,1985
内蒙古,阿拉善盟,257
河北,邯郸市,15210
江苏,淮安市,4363
河南,焦作市,2236
河南,濮阳市,3551
河南,,1744
河北,邢台市,4810
青海,西宁市,12864
山西,,440
安徽,阜阳市,24932
甘肃,,1082
广东,韶关市,2633
广东,,22189
湖南,永州市,3981
陕西,,1717
江西,上饶市,1381
江苏,常州市,8032
新疆,可克达拉市(自治区直辖),3
黑龙江,哈尔滨市,11524
江苏,,12470
内蒙古,乌兰察布市,1254
贵州,黔东南侗族自治州,2057
西藏,阿里地区,1
黑龙江,鹤岗市,1023
浙江,杭州市,80332
吉林,松原市,4771
云南,文山壮族苗族自治州,2647
广东,梅州市,591
贵州,六盘水市,17209
新疆,阿勒泰地区,1336
青海,海西蒙古族藏族自治州,13
山东,烟台市,16577
陕西,宝鸡市,5692
湖南,岳阳市,1947
湖南,益阳市,4700
青海,海东市,2430
山东,潍坊市,29317
海南,海口市,8975
湖南,邵阳市,19186
湖南,,5533
黑龙江,牡丹江市,10155
广西,防城港市,397
甘肃,庆阳市,755
陕西,榆林市,2141
四川,遂宁市,3083
新疆,昌吉回族自治州,13197
陕西,西咸新区,16
四川,广元市,7516
河南,南阳市,12709
湖南,娄底市,9870
江西,吉安市,8332
宁夏,银川市,50300
河北,衡水市,1845
云南,曲靖市,10664
