index,cnt_today,cnt_yesterday,ratio
小微主扫,424365,500555,-0.15221104573922944
快速收款码,473907,504933,-0.06144577597423816
公缴,75209,91113,-0.17455247879007385
微信收款码,13935,2460,4.664634146341464
远程转账,1559385,1646659,-0.05300065162246707
一般主扫,786271,824351,-0.04619391497068603
充值,24228,26572,-0.08821315670630739
乘车码,430446,null,null
被扫,3602597,null,null
人到人转账,178711,197337,-0.09438675970547844
商城,0,null,null
外部控件,329821,null,null
